query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,relation_sides,cited_by_count,type
en,The promotion of Sino-Arab Economy and Trade Tourism Cooperation and Construction of Ningxia Tourist Destination for the Arab Region,2012,,Wang Lin-ling,,https://openalex.org/W2379344379,['Sino-Arab cooperation'],both,0,article
en,التعاون الصيني العربي في مجال الفضاء: الفرص والتحديات / Sino-Arab Space Cooperation: Opportunities and Challenges,2022,Chinese and Arab Studies,Tamara Berro,10.1515/caas-2022-2007,https://openalex.org/W4287881868,['Chinese-Arab relations'],both,1,article
en,The impact of China’s Consistent Stance on the Palestinian issue on the Embodiment of international pluralism,2023,Asian Journal of Middle Eastern and Islamic Studies,Alaa Aldeek; Jun Ding,10.1080/25765949.2023.2190614,https://openalex.org/W4362637529,['Chinese-Arab relations'],both,0,article
en,Academic Exchange Programs between China and the Arab Region: A Means of Cultural Harmony or Indirect Chinese Influence?,2021,Arab Studies Quarterly,Mohamad Zreık,10.13169/arabstudquar.43.2.0172,https://openalex.org/W3159417625,['Chinese-Arab relations'],both,29,article
en,Arabic language teaching and interpreter training in the context of rapidly evolving China–Arab relations,2024,,Zijian Guo; Guanda Xue,10.4324/9781032687766-34,https://openalex.org/W4403772289,['Chinese-Arab relations'],both,0,book-chapter
en,Public perception of the Chinese president’s visit to Saudi Arabia and the China–Arab Summit: sentiment analysis of Arabic tweets,2024,Social Network Analysis and Mining,Ahmed A. M. Hassan,10.1007/s13278-023-01174-w,https://openalex.org/W4390908164,['Chinese-Arab relations'],both,3,article
en,"China, the Arab World, and Silk Road Diplomacy: Towards a New World Order",2023,Understanding China,Ramakrushna Pradhan,10.1007/978-3-031-31042-3_12,https://openalex.org/W4379164928,['Chinese-Arab relations'],both,0,book-chapter
en,Formation of Cultural Heritage Through the Interaction Between Chinese and Arab Cultures from a Post-colonial Perspective: Taking Ma Jian as an Example,2023,Chinese and Arab Studies,Mohsin Farghani,10.1515/caas-2023-030203,https://openalex.org/W4400658698,"['China Arab cultural exchange', 'China-Arab cultural exchange', 'Chinese-Arab relations']",both,0,article
zh,互通信息 洽谈合作 双向采购 扩大贸易——2013中国—伊斯兰国家商品采购对接洽谈会举办,2013,宁夏画报：时政版,陈镛安,,https://openalex.org/W2518055843,['中阿博览会'],both,0,article
zh,中阿文化交流结出的一枝奇葩——诗集《字符与色彩》序,2010,对外传播,郭晓勇,,https://openalex.org/W181970068,['中阿文化交流'],both,0,article
zh,张来武会见阿盟秘书处助理秘书长巴德尔·丁·阿拉里一行,2015,宁夏画报：时政版,钟培源,,https://openalex.org/W2482224512,['中阿博览会'],both,0,article
zh,“对画”的交流——关于《对画·中国与也门艺术家联展》,2010,中外文化交流,端子,,https://openalex.org/W890856334,['中阿合作'],both,0,article
zh,"“买全球,卖全球”贸易平台招商进行时 中阿商贸城“互联网＋”寻找小伙伴",2015,新商务周刊,马易,,https://openalex.org/W2292355761,['中阿博览会'],both,0,article
zh,为中阿汽车市场把脉——2015中国—阿拉伯国家汽车合作论坛,2015,宁夏画报：时政版,李青钰,,https://openalex.org/W2529071510,['中阿博览会'],both,0,article
zh,中阿博览会：丝绸之路文化的延伸——兼论丝绸之路的走向与研究范围,2014,丝绸之路,薛正昌,,https://openalex.org/W916483922,['中阿博览会'],both,0,article
zh,依托两大平台 实施五项举措 推动宁夏内陆开放型经济加快发展,2014,新商务周刊,张八五,,https://openalex.org/W2289801875,"['中阿博览会', '中阿合作']",both,0,article
zh,八朵云亮相中阿博览会 云计算架起合作桥梁——2015网上丝绸之路暨云计算技术和应用展,2015,宁夏画报：时政版,李青钰,,https://openalex.org/W2506564749,['中阿博览会'],both,0,article
zh,携手合作 共谋发展——中国—尼日利亚、中国—德国经贸合作推介会举行,2013,宁夏画报：时政版,郭涛,,https://openalex.org/W2529284552,['中阿博览会'],both,0,article
zh,新丝路 中阿情——第三届阿拉伯艺术节宁夏分会场文艺晚会精彩上演,2014,宁夏画报：生活版,钟培源; 陈镛安,,https://openalex.org/W2482303543,['中阿合作'],both,0,article
zh,"展示宁夏旅游资源,促进中阿旅游交流——2015中阿旅行商大会将于9月8日至11日在宁召开",2015,新商务周刊,王西平,,https://openalex.org/W2296162141,"['中阿旅游', '宁夏旅游']",both,0,article
zh,拓展2015中阿博览会成果构建中阿合作长效机制——专访宁夏社科联主席、中阿博览会顾问杨占武,2015,新商务周刊,曹雄,,https://openalex.org/W2545875056,"['中阿博览会', '中阿合作']",both,0,article
zh,中阿企业谈合作 会场内外觅商机——中阿博览会高新技术对接洽谈会侧记,2015,新商务周刊,Jing Liu,,https://openalex.org/W2336265786,['中阿博览会'],both,0,article
zh,2015中阿博览会——中国（宁夏）国际节水展览会举办,2015,中国水利,车小磊; 刘岩岩,,https://openalex.org/W1472983643,['中阿博览会'],both,0,article
zh,精简务实 扩容升级 铸造中阿合作战略平台——宁夏博览局局长王静谈第二届中阿博览会,2015,新商务周刊,Jing Liu,,https://openalex.org/W2308315750,"['中阿博览会', '中阿合作']",both,0,article
zh,创新卫星应用模式推进“一带一路”建设——银川iBi育成中心卫星应用板块介绍,2016,卫星应用,高菲,,https://openalex.org/W2599998822,['中阿合作'],both,0,article
zh,“中阿合作的未来不可限量”——专访阿根廷驻华大使Gustavo A.Martino,2015,中国核工业,杨金凤; 吴佳蔚,,https://openalex.org/W2279300798,['中阿合作'],both,0,article
zh,论“阿拉伯之春”运动对中阿合作论坛的影响及应对,2014,郑州轻工业学院学报：社会科学版,Fan Yang,,https://openalex.org/W2261841796,['中阿合作'],both,0,article
zh,紫荆视通4G无线指挥调度系统助力银川公安“中阿博览会”安保,2013,中国多媒体通信,于泽,,https://openalex.org/W2253306825,['中阿博览会'],both,0,article
ar,ابعاد مبادرة الحزام والطريق الصينية على منطقة الخليج العربي,2022,قضايا سياسية,هديل حربي ذاري; فكرت نامق عبد الفتاح,10.58298/202296,https://openalex.org/W4313116913,['مبادرة الحزام والطريق'],both,0,article
ar,العلاقات الصينية العراقية في ضوء مبادرة الحزام والطريق China–Iraq relations within the context of the Belt and Road Initiative,2022,Risālaẗ Al-Mašriq,لاو لينغ Lao Ling لينغ Ling,10.21608/rmshreq.2022.259805,https://openalex.org/W4297921079,['مبادرة الحزام والطريق'],both,0,article
ar,التعاون بين الصين والدول العربية في نشر الكتب: بناءعلى منهجية تحليل الشبكات الاجتماعية,2025,مجلة کلية التربية بدمياط,نيه مينغ جون,10.21608/jsdu.2025.375747.1568,https://openalex.org/W4412358725,['التعاون الصيني العربي'],both,0,article
ar,"从“黑”与“红”看汉阿文化词语的语义差异 دراسة الفروق الدلالية للكلمات الثقافية في اللغتين الصينية والعربية من خلال ""الأسود"" و""الأحمر""",2025,مجلة کلیة الآداب جامعة الفیوم,سلمى رجب عبد الستار سري,10.21608/jfafu.2025.410781.2272,https://openalex.org/W4414311027,['الصين والعالم العربي'],both,0,article
ar,الانعكاسات الجغرافية السياسية والاقتصادية لمبادرة الحزام والطريق على مستقبل العراق,2022,Al-Adab Journal,Adnan Abdullah Hamadi,10.31973/aj.v1i143.3899,https://openalex.org/W4312132173,['مبادرة الحزام والطريق'],both,0,article
ar,حوكمة المبادرات العابرة للحدود: مبادرة الحزام والطريق من المنظورين الصيني-المصري,2026,مجلة البحوث المالیة والتجاریة,شريف سيف الدين خليل,10.21608/jsst.2026.466117.2202,https://openalex.org/W7128905815,['مبادرة الحزام والطريق'],both,0,article
ar,تقرير عن ندوة العلاقات الصينية - العربية : حالة الجزائر، مخبر البحوث والدراسات في العلاقات الدولية جامعة الجزائر 3، 14 نيسان / أبريل 2016,2016,المجلة العربية للعلوم السياسية,بلقاسم بن ضيف الله,10.12816/0034857,https://openalex.org/W2622507794,['العلاقات الصينية العربية'],both,0,article
ar,الابعاد السياسية والاقتصادية للعلاقات العربية الصينية في ضوء مبادرة الحزام والطريق الصينية خلال الفترة 2013-2021,2024,Dirasat Human and Social Sciences,Gazi Mohammed Sammour Khsabah; Mohammed Torki Bani Salameh,10.35516/hum.v51i3.4198,https://openalex.org/W4399177450,['مبادرة الحزام والطريق'],both,1,article
ar,الممر الاقتصادي بين الهند والشرق الأوسط وأوروبا.. الأهداف والدلالات,2024,Afāq Asyawiyyaẗ,محمد فوزي حسن,10.21608/sis.2024.275968.1141,https://openalex.org/W4399535130,['مبادرة الحزام والطريق'],both,0,article
ar,الدبلوماسية والقوة الناعمة الصينية تجاه منطقة الشرق الاوسط بعد عام 2011م,2023,مجلة العلوم السياسية,اسراء خليل مجيد,10.30907/jcopolicy.vi66.681,https://openalex.org/W4388862870,['مبادرة الحزام والطريق'],both,0,article
ar,القطبية الاقتصادية الدولية بين كتلتي (الصين والولايات المتحدة) : رؤية مستقبلية,2024,قضايا سياسية,أحمد عبد الجبار عبد الله,10.58298/762024475,https://openalex.org/W4394015118,['مبادرة الحزام والطريق'],both,0,article
ar,مبادرة الحزام والطريق الصينية وأثرها على السياسة الخارجية الكويتية,2022,مجلة دراسات الخليج والجزيرة العربية.,عدنان عبدالله العنزي,10.34120/jgaps.v48i187.2949,https://openalex.org/W4399810276,['مبادرة الحزام والطريق'],both,0,article
ar,"دراسة التعاون بين الصين والإمارات العربية المتحدة في مجال الطاقة الجديدة في إطار ”مبادرة الحزام والطريق“ A study of cooperation between China and the United Arab Emirates in the field of new energy within the framework of the ""Belt and Road Initiative""",2025,The International Islamic University Malaysia Repository (The International Islamic University Malaysia),"Matianping, Matianping; Ali, Asem Shehadeh Saleh",,https://openalex.org/W7115811555,['مبادرة الحزام والطريق'],both,0,article
ar,مبادرة الحزام والطريق وتأثيرها على العلاقات العربية الصينية,2025,Queen Arwa University Journal,محمد عبداللطيف الشوكاني; محمد أحمد الصيادي,10.58963/qausrj.v29i29.317,https://openalex.org/W4413436173,['مبادرة الحزام والطريق'],both,0,article
ar,الاستثمار الصيني فى أفغانستان (الفرص – التحديات) فى ضوء المشارکة الجيوستراتيجية,2023,المجلة العلمية للبحوث والدراسات التجارية,أحمد جمعة عبد الغني حسن,10.21608/sjrbs.2023.148667.1335,https://openalex.org/W4386578594,['مبادرة الحزام والطريق'],both,0,article
ar,مكانة السعودية الجيو اقتصادية في استراتيجيات القوى التعديلية : مبادرة الحزام والطريق انموذجا,2025,Iraqi Journal of Economic Sciences,م.م زياد عبدالرحمن علي محمود,10.31272/ijes.v23i86.1337,https://openalex.org/W4414928701,['مبادرة الحزام والطريق'],both,0,article
ar,تأثير تطور العلاقات الصينية الإيرانية على المنطقة العربية,2024,Al-Amn Al-Qawmī wa Al-Istirātīğiyyaẗ/Al-Amn Al-Qawmī wa Al-Istirātīğiyyaẗ,مرفت زكريا,10.21608/nsas.2024.337108,https://openalex.org/W4391278420,['مبادرة الحزام والطريق'],both,0,article
ar,التكيف عبر الثقافات: الطلاب الصينيون الدارسون بجامعة الإسكندرية نموذجا,2023,"Mağallaẗ Kulliyyaẗ Al-Adāb, Ǧāmiʿaẗ Al-Iskandariyyaẗ/Mağallaẗ Kulliyyaẗ Al-Adāb, Ǧāmiʿaẗ Al-Iskandariyyaẗ",فاطمة (SONG YANAN) (SONG YANAN); خالد ZHANG JUNBO,10.21608/bfalex.2023.294614,https://openalex.org/W4366832076,['مبادرة الحزام والطريق'],both,0,article
ar,أثر القوة الاقتصادية الصينية الناشئة على العلاقات بين الولايات المتحدة الأمريكية ودول مجلس التعاون الخليجي العربي: دراسة حالة مبادرة الحزام والطريق: 2013 - 2023,2023,حوليات أداب عين شمس,سعيد عبيد الكتبي,10.21608/aafu.2023.323175,https://openalex.org/W4388160047,['مبادرة الحزام والطريق'],both,0,article
ar,الدراسة في النمط الجديد للتعاون الصيني العربي في إطار هدف الحياد الكربوني- التقدم المشترك في تحول الطاقة وإدارة تغير المناخ,2025,Arab Journal for Scientific Publishing,طالبة دكتوراه بقسم اللغة العربية، كلية اللغات الأجنبية - جامعة الاقتصاد والتجارة الدولية- الصين; ما شياومي,10.36571/ajsp777,https://openalex.org/W4408219992,"['التعاون الصيني العربي', 'مبادرة الحزام والطريق']",both,0,article
