query_language,tier,relation_sides,relevance_grade,title,year,type,type_label,venue,publisher,authors,doi,url,cited_by_count,crawl_query,has_abstract
en,strict,both,A_双边_文旅核心,Network Structure and Influencing Factors of Tourism Services Trade in the Belt and Road Countries,2026,journal-article,期刊论文,Sustainability,MDPI AG,Qiwen Chi; Huan Hu,10.3390/su18168214,https://doi.org/10.3390/su18168214,0,China Belt and Road tourism,True
en,strict,both,A_双边_文旅核心,On the Southwest Silk Road: China and the Arab World,2026,journal-article,期刊论文,Diplomatic Economic and Cultural Relations between China and Central and Eastern European countries,Confucius Institute at University of Veliko Tarnovo,Ivelina Vatova,10.62635/wdz5-1vya,https://doi.org/10.62635/wdz5-1vya,0,China Arab tourism,True
en,strict,both,A_双边_文旅核心,Perceived Risks for Chinese Female Tourists' Visits to Islamic Countries,2026,journal-article,期刊论文,International Journal of Tourism Research,Wiley,Yang Zhang; Yue Yin; Qingqing Ye; Timothy J. Lee; Sunghyup Sean Hyun,10.1002/jtr.70244,https://doi.org/10.1002/jtr.70244,0,Chinese Arab tourists,True
en,strict,both,A_双边_文旅核心,Projected and Perceived Tourism Image of Egypt in the Chinese Market: A Comparative Analysis of Official Communication and Chinese Tourist Narratives,2026,journal-article,期刊论文,"International Journal of Heritage, Tourism and Hospitality",Egyptian Knowledge Bank,Amir Mohamed Aly Gadalla,10.21608/ijhth.2026.488176.1099,https://doi.org/10.21608/ijhth.2026.488176.1099,0,Chinese Egypt tourism,False
en,strict,both,B_双边_弱文旅,Research on China-UAE Foreign Oil and Gas Cooperation from the Perspective of the Belt and Road Initiative,2026,journal-article,期刊论文,"Advances in Economics, Management and Political Sciences",EWA Publishing,Jiayue Zhang,10.54254/2754-1169/2026.ld35502,https://doi.org/10.54254/2754-1169/2026.ld35502,0,China UAE tourism cooperation,True
en,strict,both,A_双边_文旅核心,"The Economic Impact of Halal Tourism in Muslim and Non-Muslim Countries: A Comparative Study of Indonesia, Hong Kong, and Africa",2026,journal-article,期刊论文,Eco-Tourism and Sustainable Development,Nature and Information Engineering Publishing Sdn. Bhd.,Hendri Hermawan Adinugraha; Kuat Ismanto; Muhammad Shulthoni,10.63385/etsd.v2i1.445,https://doi.org/10.63385/etsd.v2i1.445,0,China Muslim tourism,True
en,strict,both,A_双边_文旅核心,The impact of Big Data use on smart tourism: Economic analysis and perspective (Algeria),2026,journal-article,期刊论文,Globalization and Business,European University's Institute for the Research of Economic and Social Problems of Globalization,Dehkal Asmaa; Hadj M’hammed Mehor,10.35945/gb.2026.21.007,https://doi.org/10.35945/gb.2026.21.007,0,China Algeria tourism,True
en,strict,both,A_双边_文旅核心,Tunisian Tourism Before and After the Arab Spring,2026,journal-article,期刊论文,Anthropology of the Middle East,Berghahn Books,Kumar Pande,10.3167/ame.2026.210103,https://doi.org/10.3167/ame.2026.210103,0,China Arab tourism,True
en,strict,both,B_双边_弱文旅,Workplace Chinese training in a Chinese-managed factory in Morocco: a transfer-sensitive CIPP evaluation,2026,journal-article,期刊论文,Frontiers in Psychology,Frontiers Media SA,Yushuang Zhang; Zhaohui Huang; Qianru Gao,10.3389/fpsyg.2026.1835254,https://doi.org/10.3389/fpsyg.2026.1835254,0,Chinese Morocco tourism,True
en,strict,both,B_双边_弱文旅,Yemeni Perceptions of China's Belt and Road Initiative,2026,posted-content,预印本,Springer Science and Business Media LLC,Springer Science and Business Media LLC,1- HAZEM MOJAHED AMMAR; 2- SAAD BINMUAADH ALKAHTANI; Changxian Zou,10.21203/rs.3.rs-8078314/v1,https://doi.org/10.21203/rs.3.rs-8078314/v1,0,Belt and Road Initiative,True
en,strict,both,B_双边_弱文旅,"“Steel Dragon City, shifting Chinese migrants”: Chinese communities in suspended motion in Dubai",2026,journal-article,期刊论文,Comparative Migration Studies,Springer Science and Business Media LLC,Xiaofeng Han; Haichao Wang,10.1186/s40878-026-00521-y,https://doi.org/10.1186/s40878-026-00521-y,0,Chinese Dubai tourism,True
en,strict,both,B_双边_弱文旅,"Aquaculture Strategy and Genetic Diversity of Argopecten irradians concentricus in Beibu Gulf, China",2025,journal-article,期刊论文,Biology,MDPI AG,Qishuai Wang; Jie Feng; Yanping Qin; Ying Pan,10.3390/biology14081103,https://doi.org/10.3390/biology14081103,0,China Gulf tourists,True
en,strict,both,B_双边_弱文旅,China in Egypt: Converting Economic Engagement into Political Capital,2025,journal-article,期刊论文,Journal of Indian Ocean Studies,Prints Publications Pvt Ltd,"Vishal Choudhury is PhD Candidate in Economics at the University of Missouri-Kansas City and Assistant Professor, Department of Economics, FLAME University, Pune, Maharashtra.; Vishal Choudhury; Jabin T. Jacob; Dr. Jabin T. Jacob is Associate Professor, Department of International Relations and Governance Studies, Shiv Nadar University, and Adjunct Research Fellow, National Maritime Foundation, Delhi NCR.",10.32381/jios.2025.33.01.5,https://doi.org/10.32381/jios.2025.33.01.5,0,China Egypt tourism,True
en,strict,both,B_双边_弱文旅,China in Iraq after the War,2025,book,图书,Bloomsbury Publishing Plc,Bloomsbury Publishing Plc,Shirzad Azad,10.5040/9781350542501,https://doi.org/10.5040/9781350542501,2,China Iraq tourism,True
en,strict,both,B_双边_弱文旅,China-Arab States Cooperation Forum: 20-year Dialogue,2025,journal-article,期刊论文,Governance and Politics,MGIMO University,E. Savicheva; A. Stenyaeva,10.24833/2782-7062-2025-4-3-8-20,https://doi.org/10.24833/2782-7062-2025-4-3-8-20,0,China Arab tourism,True
en,strict,both,B_双边_弱文旅,China-Arab academic engagement as track II diplomacy: a counter-narrative to Western securitization of knowledge exchange,2025,journal-article,期刊论文,Asian Review of Political Economy,Springer Science and Business Media LLC,Mohamad Zreik,10.1007/s44216-025-00055-7,https://doi.org/10.1007/s44216-025-00055-7,1,China Arab cultural exchange,True
en,strict,both,A_双边_文旅核心,China’s New Dynamic Cooperation Paradigm with The Gulf Cooperation Council (GCC),2025,journal-article,期刊论文,Reliģiski-filozofiski raksti,University of Latvia,Hasan Mustafa; Haya Al Shawwa; Kaspars Kļaviņš,10.22364/rfr.36.19,https://doi.org/10.22364/rfr.36.19,0,China Gulf tourism cooperation,True
en,strict,both,A_双边_文旅核心,"Chinese Archaeology in the Middle East: Heritage, Transnational Connectivity, and the Belt and Road Initiative",2025,journal-article,期刊论文,Middle East Critique,Informa UK Limited,Christian Langer,10.1080/19436149.2025.2505271,https://doi.org/10.1080/19436149.2025.2505271,2,Chinese Middle East cultural heritage,False
en,strict,both,B_双边_弱文旅,Common cultural and civilizational values ​​between the People's Republic of China and the Kingdom of Saudi Arabia,2025,journal-article,期刊论文,Journal of the Faculty of Arts,Egyptian Knowledge Bank,TARIQ MUHMMAD MUGIM ALMUGIM ALMUGIM,10.70216/2682-485x.1696,https://doi.org/10.70216/2682-485x.1696,0,China Saudi Arabia cultural heritage,False
en,strict,both,A_双边_文旅核心,"Comparative Analysis of Halal Tourism Management in Indonesia and China: Implementation, Challenges, and Opportunities",2025,journal-article,期刊论文,International Journal of Religious and Interdisciplinary Studies (IJoRIS),Ranah ilmu-ilmu Sosial-agama dan interdisipliner,Hendri Hermawan Adinugraha; Syauqie Muhammad Marier; Muhammad Zheeva Al-Kasyaf,10.64529/2ps9dq35,https://doi.org/10.64529/2ps9dq35,0,China halal tourism,True
en,strict,both,A_双边_文旅核心,Factors Influencing Local Tourists’ Decision to Consume Halal Chinese Food at Local Festivals,2025,journal-article,期刊论文,International Journal of Research and Innovation in Social Science,RSIS International,Nurkhairun Shuhada Razali; Muhammad Hafizi Zamri; Abdul Hamid Abdul Halim; Mohamad Imaduddin Zainal Abidin; Liyana Shamimi Mohamed Kamil,10.47772/ijriss.2025.906000485,https://doi.org/10.47772/ijriss.2025.906000485,0,Chinese Arab tourists,True
en,strict,both,A_双边_文旅核心,Historical Trajectories of Sino–Nusantara Relations,2025,journal-article,期刊论文,Islam Nusantara: Journal for the Study of Islamic History and Culture,Universitas Nahdlatul Ulama Indonesia,Ahmad Suaedy; Fariz Alnizar; Muhammad Hasan Basri; Idris Masudi,10.47776/islamnusantara.v7i1.1880,https://doi.org/10.47776/islamnusantara.v7i1.1880,0,Sino-Arab relations,True
en,strict,both,B_双边_弱文旅,India’s gulf policy in the context of China-U.S. strategic competition,2025,journal-article,期刊论文,Asian Review of Political Economy,Springer Science and Business Media LLC,Huangtuo Chen; Hongsong Liu,10.1007/s44216-025-00048-6,https://doi.org/10.1007/s44216-025-00048-6,3,China Gulf tourism,True
en,strict,both,A_双边_文旅核心,Integrating Ideological and Political Education into An Arabic for Tourism Course in China: A Student-Centered Case Study,2025,journal-article,期刊论文,"Education, Language and Sociology Research","Scholink Co, Ltd.",Shuhan Ma,10.22158/elsr.v6n3p54,https://doi.org/10.22158/elsr.v6n3p54,0,China Arabic tourism,True
en,strict,both,B_双边_弱文旅,"Lexiconizing Arabic and Knowledge Production of Chinese Muslims, the Mid-Ming—1930s",2025,journal-article,期刊论文,Dictionaries: Journal of the Dictionary Society of North America,Project MUSE,Jie Wang,10.1353/dic.2025.a974768,https://doi.org/10.1353/dic.2025.a974768,0,Chinese Arabic tourism,True
en,strict,both,B_双边_弱文旅,Political Economy of China-Africa Engagement: From Tiananmen to Belt and Road Initiative,2025,journal-article,期刊论文,International Journal of Research and Scientific Innovation,RSIS International,Odhiambo Alphonce Kasera,10.51244/ijrsi.2025.120500168,https://doi.org/10.51244/ijrsi.2025.120500168,0,China Belt and Road tourism,True
en,strict,both,B_双边_弱文旅,Prospects for New Infrastructure Cooperation between China and the Gulf Countries under the Belt and Road Initiative,2025,book-chapter,图书章节,Routledge Handbook of China's Belt and Road Initiative in Eurasia,Routledge,Chuchu Zhang,10.4324/9781003513872-32,https://doi.org/10.4324/9781003513872-32,0,China Gulf tourism cooperation,False
en,strict,both,B_双边_弱文旅,Qatar’s Role in China’s Belt and Road Initiative,2025,book,图书,Springer Nature Switzerland,Springer Nature Switzerland,Mohamad Zreik,10.1007/978-3-031-90502-5,https://doi.org/10.1007/978-3-031-90502-5,1,Belt and Road Initiative,False
en,strict,both,A_双边_文旅核心,Reframing the Arab World: Arab Images in China’s Media and Perceptions among Chinese Gen Z,2025,journal-article,期刊论文,مجلة جامعة الملك عبدالعزيز: الاتصال والدراسات الإعلامية,King Abdulaziz University Scientific Publishing Centre,Ke Guo; Qingying Han,10.4197/comm.2-2.6,https://doi.org/10.4197/comm.2-2.6,0,Chinese Arab tourism,True
en,strict,both,B_双边_弱文旅,Role of Civilizational Culture in Establishing a New Era in China–Arab States Economic Relations,2025,journal-article,期刊论文,Review of Business and Economics Studies,Financial University under the Government of the Russian Federation,Natalia E. Gurbanova; Igor A. Matveev; Marina A. Amurskaya,10.26794/2308-944x-2025-13-3-27-43,https://doi.org/10.26794/2308-944x-2025-13-3-27-43,0,China Arab relations,True
en,strict,both,B_双边_弱文旅,Saudi Students’ Attitudes towards Chinese as a Foreign Language,2025,journal-article,期刊论文,Forum for Linguistic Studies,Bilingual Publishing Group,Fahd Shehail Alalwi,10.30564/fls.v7i5.9488,https://doi.org/10.30564/fls.v7i5.9488,0,Chinese Saudi tourism,True
en,strict,both,A_双边_文旅核心,"Sejarah Penempatan dan Perubahan Sosial Muslim Hui di Xi'an, China History of Hui Muslim Settlement and Social Change in Xi'an, China",2025,journal-article,期刊论文,Journal of Al-Tamaddun,Univ. of Malaya,Ahmad Sunawari Long (Corresponding Author); Farid Mat Zain,10.22452/jat.vol20no2.18,https://doi.org/10.22452/jat.vol20no2.18,0,China Muslim tourism,True
en,strict,both,B_双边_弱文旅,Sino-Indo Muslim Cultures,2025,journal-article,期刊论文,Islam Nusantara: Journal for the Study of Islamic History and Culture,Universitas Nahdlatul Ulama Indonesia,Sumanto Al Qurtuby,10.47776/islamnusantara.v7i1.1857,https://doi.org/10.47776/islamnusantara.v7i1.1857,0,Sino-Arab tourism,True
en,strict,both,B_双边_弱文旅,Sino-Moroccan Cooperation Instruments of the Belt and Road Initiative,2025,book-chapter,图书章节,China's Belt and Road Initiative in Africa,Springer Nature Switzerland,Said Alahyane,10.1007/978-3-031-80400-7_17,https://doi.org/10.1007/978-3-031-80400-7_17,0,Sino-Arab cooperation,False
en,strict,both,B_双边_弱文旅,"THE EVOLUTION OF SINO-ARAB TRADE: TRENDS, CHALLENGES, AND FUTURE PROSPECTS",2025,journal-article,期刊论文,EPRA International Journal of Research &amp; Development (IJRD),EPRA JOURNALS,Hind El Atmani; Zhao Zhongxiu; Abdulhadi M. Tahir,10.36713/epra21120,https://doi.org/10.36713/epra21120,0,Sino-Arab tourism,True
en,strict,both,B_双边_弱文旅,The Analysis of Cultural Convergence and Maritime Trade Between China and Saudi Arabia: Toda–Yamamoto Granger Causality,2025,journal-article,期刊论文,Sustainability,MDPI AG,Nashwa Mostafa Ali Mohamed; Jawaher Binsuwadan; Rania Hassan Mohammed Abdelkhalek; Kamilia Abd-Elhaleem Ahmed Frega,10.3390/su17146501,https://doi.org/10.3390/su17146501,0,China Saudi Arabia cultural heritage,True
en,strict,both,B_双边_弱文旅,The Belt and Road Initiative and China–GCC Relations,2025,book-chapter,图书章节,Routledge Handbook of China's Belt and Road Initiative in Eurasia,Routledge,Steven Wright,10.4324/9781003513872-31,https://doi.org/10.4324/9781003513872-31,1,China Belt and Road tourism,False
en,strict,both,B_双边_弱文旅,The Foreign Direct Investment and Trade Connection Between China and the Gulf Cooperation Council Countries,2025,journal-article,期刊论文,"Alternatives: Global, Local, Political",SAGE Publications,Jalal Qanas; Yan Ru; Veli Safak,10.1177/03043754251381452,https://doi.org/10.1177/03043754251381452,1,China Gulf tourism cooperation,True
en,strict,both,A_双边_文旅核心,The Kingdom Of Saudi Arabia And The Future Of Cooperation With The Shanghai Cooperation Organization,2025,journal-article,期刊论文,Journal of Social Sciences and Humanities Research Fundamentals,European International Journal of Multidisciplinary Research and Management Studies,"Postgraduate student at the National University of Uzbekistan, Tashkent, Uzbekistan; Satam Nasser Otaibi",10.55640/jsshrf-05-12-06,https://doi.org/10.55640/jsshrf-05-12-06,0,China Saudi tourism cooperation,True
en,strict,both,B_双边_弱文旅,The Muslim Floating Population and Cultural Forms in Contemporary China,2025,edited-book,编著,Gorgias Press,Gorgias Press,Alimtohte  Shiho,10.31826/9781463248321,https://doi.org/10.31826/9781463248321,0,China Muslim tourism,False
en,strict,both,B_双边_弱文旅,The role of artificial intelligence tools in mediating Sino-Arab cultural exchanges through intercultural translation,2025,journal-article,期刊论文,Babel. Revue internationale de la traduction / International Journal of Translation / Revista Internacional de Traducción,John Benjamins Publishing Company,Mubarak Alkhatnai,10.1075/babel.25101.alk,https://doi.org/10.1075/babel.25101.alk,4,Sino-Arab tourism,True
en,strict,both,A_双边_文旅核心,Tracing Cultural Acculturation in the Shophouse Architecture of Tuban's Arab Neighborhood,2025,journal-article,期刊论文,Architectural Research Journal,Universitas Warmadewa,Cynthia Puspitasari; Anedya Wardhani,10.22225/arj.5.2.2025.74-84,https://doi.org/10.22225/arj.5.2.2025.74-84,0,China Arab cultural exchange,True
en,strict,both,A_双边_文旅核心,Trans-Eurasia Exchange and Silk Road Civilization Development,2025,posted-content,预印本,Copernicus GmbH,Copernicus GmbH,Fahu Chen; Michael Meadows; Jürg Luterbacher; Juzhi Hou; Likun Ai,10.5194/egusphere-egu25-14436,https://doi.org/10.5194/egusphere-egu25-14436,0,China Arab civilization exchange tourism,True
en,strict,both,B_双边_弱文旅,"Transcultural and translingual identities in the United Arab Emirates: Engagement with Chinese, Japanese, and Korean",2025,journal-article,期刊论文,Intercultural Communication Education,Castledown Publishers,Sarah Hopkyns; Melanie Van den Hoven,10.29140/ice.v8n3.103277,https://doi.org/10.29140/ice.v8n3.103277,0,Chinese Emirates tourism,True
en,strict,both,A_双边_文旅核心,«The Belt And Road Initiative» Trajectories Of Engagement And Cooperation For Central Asia And The Gulf States,2025,journal-article,期刊论文,International Journal Of History And Political Sciences,The USA Journals,"Political Sciences Department, University of World Economy and Diplomacy, Uzbekistan; Nigina Kushaeva",10.37547/ijhps/volume05issue12-24,https://doi.org/10.37547/ijhps/volume05issue12-24,0,Belt and Road cultural cooperation,True
en,strict,both,B_双边_弱文旅,A Case Study with Hofstede’s Culture: Working Performance of Chinese Expatriates in Dubai,2024,journal-article,期刊论文,Journal of Ecohumanism,Creative Publishing House,Chen Wenchang; Asokan Vasudevan; Vasumathi Arumugam; Jin Zhang; Rajani Balakrishnan; Muhamad Saufi Che Rusuli,10.62754/joe.v3i4.3697,https://doi.org/10.62754/joe.v3i4.3697,3,Chinese Dubai tourism,True
en,strict,both,B_双边_弱文旅,BEYOND BORDERS: A COMPREHENSIVE ANALYSIS OF THE ARAB CHINESE RELATIONS,2024,journal-article,期刊论文,International Journal of Education and Social Science Research,Chronopub Publications,Dr. Shak Bernard Hanish,10.37500/ijessr.2024.7412,https://doi.org/10.37500/ijessr.2024.7412,0,Chinese Arab tourism,True
en,strict,both,B_双边_弱文旅,Belt And Road Initiative as a Catalyst for International Cooperation,2024,journal-article,期刊论文,Hong Kong Review of Belt and Road Studies,"Hong Kong Chu Hai College, Ng Teng Fong · Sino Group Belt and Road Research Institute",Khalid Taimur Akram,10.63596/oborjournal.2.2024.33-49,https://doi.org/10.63596/oborjournal.2.2024.33-49,0,Belt and Road cultural cooperation,True
en,strict,both,A_双边_文旅核心,China Partnership Diplomacy with Morocco and the New Silk Road Strategy,2024,journal-article,期刊论文,The Maghreb Review,Project MUSE,Mordechai Chaziza,10.1353/tmr.2024.a924759,https://doi.org/10.1353/tmr.2024.a924759,1,China Morocco tourism,True
en,strict,both,B_双边_弱文旅,China and the Middle East Interactions,2024,journal-article,期刊论文,The International and Political Journal,Mustansiriyah University College of Engineering,Prof. Dr Sattar Jabbar Allai,10.31272/ipj.i60.345,https://doi.org/10.31272/ipj.i60.345,0,China Middle East tourism,True
en,strict,both,B_双边_弱文旅,"China-UAE Diplomatic Relations Over 40 Years: Progress, Accomplishments, and Future Prospects",2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Yusha Kang; Jiaxuan Wang,10.1515/caas-2024-2002,https://doi.org/10.1515/caas-2024-2002,1,China UAE tourism,True
en,strict,both,A_双边_文旅核心,Chinese TV Series in the Arab World: Reality and Challenges,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Yara Ismail,10.1515/caas-2024-2003,https://doi.org/10.1515/caas-2024-2003,0,Chinese Arab tourism,True
en,strict,both,A_双边_文旅核心,Contributions of Chinese Arabists to Promoting Cultural Exchanges Between China and Arab Countries,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Albadawe Abdalla,10.1515/caas-2024-2007,https://doi.org/10.1515/caas-2024-2007,0,China Arab tourists,True
en,strict,both,B_双边_弱文旅,Dialogue Among Civilizations and the Future of International Relations: Focusing on the Arab-China Dialogue,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Smail Debeche,10.1515/caas-2024-2001,https://doi.org/10.1515/caas-2024-2001,0,China Arab relations,True
en,strict,both,B_双边_弱文旅,Examining the Dynamics of China-Syria Relations Amid Global Changes,2024,journal-article,期刊论文,Journal of Central Asian Studies,Kazakhstan Institute for Strategic Studies Under the President of The Republic of Kazakhstan,Institute of Oriental Studies National Academy of Sciences of Armenia; AGHAVNI A. HARUTYUNYAN,10.52536/3006-807x.2024-2.02,https://doi.org/10.52536/3006-807x.2024-2.02,1,China Syria tourism,True
en,strict,both,A_双边_文旅核心,Exploring the Prospects for Tourism Development in China and Arab Countries under the Belt and Road Initiative: Taking Algeria as an Example,2024,journal-article,期刊论文,Modern Economics &amp; Management Forum,Frontier Scientific Publishing Pte Ltd,Anning Zhang,10.32629/memf.v5i2.1978,https://doi.org/10.32629/memf.v5i2.1978,0,China Arab tourism,True
en,strict,both,B_双边_弱文旅,Factors Influencing Trade Relations Between Yemen and China,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Abdul Salam Alnoah,10.1515/caas-2024-2012,https://doi.org/10.1515/caas-2024-2012,0,China Yemen tourism,True
en,strict,both,B_双边_弱文旅,Green Development Cooperation Between China and the Arab States of the Gulf: Challenges and Countermeasures,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Ting Ma,10.1515/caas-2024-2009,https://doi.org/10.1515/caas-2024-2009,0,China Arab cultural cooperation,True
en,strict,both,B_双边_弱文旅,India - China and the Arab World specifically focusing on the Tea,2024,journal-article,期刊论文,International Journal of Tea Science,International Society of Tea Science,Sunanda Das,10.20425/ijts18102,https://doi.org/10.20425/ijts18102,0,China Arab tourism,True
en,strict,both,B_双边_弱文旅,"Integrating Cultures, Enhancing Outcomes: Perceived Organizational Support and Its Impact on Chinese Expatriates' Performance in Dubai",2024,journal-article,期刊论文,Herança,UK Zhende Publishing Limited Company,Wenchang Chen; Asokan Vasudevan; Khaleel Ibrahim Al- Daoud; Suleiman Ibrahim Shelash Mohammad; Vasumathi Arumugam; Thulasi Manoharan; Wong Siew Foong,10.52152/heranca.v7i3.1066,https://doi.org/10.52152/heranca.v7i3.1066,17,Chinese Dubai tourism,True
en,strict,both,A_双边_文旅核心,International trade war - Spice Road against Silk Road,2024,journal-article,期刊论文,"International Trade, Politics and Development",Emerald,Joon Seok Oh,10.1108/itpd-06-2024-0031,https://doi.org/10.1108/itpd-06-2024-0031,1,Silk Road tourism China,True
en,strict,both,B_双边_弱文旅,Matteo Ripa (1682–1746) and the Sino-European Cultural Contacts during the Kangxi Reign,2024,journal-article,期刊论文,Asian Review of World Histories,Walter de Gruyter GmbH,Qi Han,10.1163/22879811-bja10070,https://doi.org/10.1163/22879811-bja10070,0,Sino-Arab cultural exchange,True
en,strict,both,A_双边_文旅核心,"Offshore Wind Farms and Tourism Development Relationship to Energy Distribution Justice for the Beibu Gulf, China",2024,journal-article,期刊论文,Land,MDPI AG,Xin Nie; Hubin Ma; Sihan Chen; Kailu Li; Zhenhan Yu; Han Wang; Zhuxia Wei,10.3390/land13050678,https://doi.org/10.3390/land13050678,5,China Gulf tourism,True
en,strict,both,A_双边_文旅核心,Remembrance of travels past: creating memorable halal food experiences among non-muslim Chinese tourists,2024,journal-article,期刊论文,Journal of Foodservice Business Research,Informa UK Limited,Erose Sthapit; Ping Yang; Chunli Ji; Peter Björk; Matthew J. Stone,10.1080/15378020.2024.2321415,https://doi.org/10.1080/15378020.2024.2321415,13,Chinese Arab tourists,False
en,strict,both,A_双边_文旅核心,Research on Tourism Image Perception of the Beibu Gulf Urban Agglomeration in China,2024,book-chapter,图书章节,"Advances in Economics, Business and Management Research",Atlantis Press International BV,Xiaoxia Zeng; Tiancheng Li; Dandan Lu; Lei Huang,10.2991/978-94-6463-636-9_10,https://doi.org/10.2991/978-94-6463-636-9_10,0,China Gulf tourism,False
en,strict,both,B_双边_弱文旅,"Status and Prospects of Higher Education Cooperation between China and GCC Countries from the Perspective of the ""Belt and Road"" Initiative",2024,journal-article,期刊论文,Journal of Higher Education Research,Frontier Scientific Publishing Pte Ltd,Congzhao Zhang,10.32629/jher.v5i2.2424,https://doi.org/10.32629/jher.v5i2.2424,0,China GCC cooperation,True
en,strict,both,B_双边_弱文旅,The Legal Framework in Alternative Energy of China and Arab Countries,2024,journal-article,期刊论文,Chinese and Arab Studies,Walter de Gruyter GmbH,Maroun Maroun,10.1515/caas-2024-2006,https://doi.org/10.1515/caas-2024-2006,0,China Arab tourism,True
en,strict,both,B_双边_弱文旅,The Rising Popularity of Chinese Education in Saudi Arabia: A Bidirectional Interaction of Language Education and Cultural Dissemination,2024,journal-article,期刊论文,"The Educational Review, USA",Hill Publishing Group Inc.,Da Xu,10.26855/er.2024.11.010,https://doi.org/10.26855/er.2024.11.010,0,Chinese Saudi Arabia cultural heritage,False
en,strict,both,A_双边_文旅核心,The US-China Rivalry in the Middle East: Confrontation or Competitive Coexistence,2024,journal-article,期刊论文,Contemporary Review of the Middle East,SAGE Publications,Mordechai Chaziza,10.1177/23477989241240899,https://doi.org/10.1177/23477989241240899,15,China Middle East tourism,True
