query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,relation_sides,cited_by_count,type
ar,أثر التخطیط السیاحی فی التنمیة السیاحیة المستدامة دراسة تحلیلیة / مدینة بغداد نموذجا,2022,مجلة کلية السياحة والفنادق جامعة المنصورة,موحان شعلان عبیس,10.21608/mkaf.2022.257836,https://openalex.org/W4295546932,"['التنمية السياحية', 'صناعة السياحة']",arab,0,article
ar,تقييم نظم ادارة الازمات في الشركات السياحية المصرية,2024,المجلة الدولية للتراث والسياحة والضيافة,ريم احمد; مصطفى محمود أبو حمد; محمد محمد فراج,10.21608/jihtha.2025.331166.1076,https://openalex.org/W4408627193,['السياحية'],arab,0,article
ar,تنمیة وتطویر وسائل التواصل الفعال لدى المرشد السیاحی واثرها على القطاع السیاحی,2019,مجلة کلية السياحة والفنادق جامعة المنصورة,مهدی محمد مهدی السعدی; صفاء عبد الجبار الموسوی; نرمین محمود شکری; رحاب محمود الشرنوبی,10.21608/mkaf.2021.164938,https://openalex.org/W3157966819,['السائح'],arab,0,article
ar,إعادة تأهیل الموارد البشریة فی قطاع الفنادق المصری من خلال تطویر مهارات الذکاء الاصطناعی,2022,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,إسلام سید عبد الغنی یاسین; أشرف السید عبد المعبود; هشام عزت سعد; عمر السید قورة,10.21608/mfth.2022.238088,https://openalex.org/W4281262193,['صناعة السياحة'],arab,1,article
ar,الاستفادة من الکتابة المصرية القديمة (الرموز الهيروغليفية) لإثراء القيمة الجمالية للمفروشات السياحية.,2019,Al-Mağallah Al-ʿilmiyyaẗ Li Kulliyyaẗ Al-Tarbiyyaẗ Al-Nawʿiyyaẗ - Ǧāmiʿaẗ Al-Munūfiyyaẗ,إيمان السيد السيد أبوسنة; حنان حسنى يشار; دعاء عبد المجيد جعفر,10.21608/molag.2019.153225,https://openalex.org/W3134406477,['السائحين'],arab,0,article
ar,أربعة وثائق صدقة وتراجع عن الصدقة من العصر المملوکى (648-923هـ/1250-1517م),2022,مجلة الإتحاد العام للآثاريين العرب,Shaimaa abd-Allah Ibrahim,10.21608/jguaa.2021.70480.1177,https://openalex.org/W4210340464,['المتاحف'],arab,0,article
ar,ولفي يا مسافر,2014,,عدلي الهواري بحوث ومقالات وقصص,,https://openalex.org/W2970885453,['السفر'],arab,0,article
ar,تحف معدنية تراثية من المتحف العراقي,2013,مجلة مركز بابل للدراسات الإنسانية,مساعد عماد مهدى حسن,10.33843/1152-003-002-011,https://openalex.org/W4411759743,['المتحف'],arab,0,article
ar,"أحكام السفر والانتقال بالمحضون في التشريعات العربية:, دراسة مقارنة بين التشريعات المشرقية والمغاربية",2022,مجلة العلوم القانونية والاجتماعية,سلوغة عبدالرحمان; نور الدين فليغة,10.53419/2259-007-001-017,https://openalex.org/W4412144870,['السفر'],arab,0,article
ar,"تكنولوجيا الإعلام والاتصال كآلية لتحسين الجذب السياحي ""حالة الجزائر""",2020,,سيد أحمد بن ناصر; جيلالي مزواغي; جيلالي بوظراف,,https://openalex.org/W3172610983,['السياحي'],arab,0,article
ar,الأوضاع الاقتصادية والاجتماعية لأقاليم كيرينايكى من خلال المصادر المادية والأدبية في العصرين البطلمي والروماني 322ق. م – 305م,2024,مجلة الجامعة الأسمرية,عمران احمد حسين الشريف,10.59743/jau.v37i5.2146,https://openalex.org/W4406856532,['المعالم الأثرية'],arab,0,article
ar,واقع التنمية السياحية المستدامة في المناطق الصحراوية الحدودية بالجزائر_مؤشر قتنافسية قطاع السياحة والسفر_,2021,السياسة العالمية,مريم سعداوي,,https://openalex.org/W3168976723,['التنمية السياحية'],arab,0,article
ar,السعودية في المدرك الاستراتيجي الصيني,2025,Tikrit Journal For Political Science,زهراء امير حسن,10.25130/tjfps.v2i39.487,https://openalex.org/W4411952251,['مبادرة الحزام والطريق'],both,0,article
ar,نحو نظام قانوني لحماية السائح الأجنبي في ضوء تنظيم قطر لكأس العالم 2022,2020,DOAJ (DOAJ: Directory of Open Access Journals),أنس فيصل التورة; طارق جمعه السيد راشد,,https://openalex.org/W3166148086,['السائح'],arab,0,article
ar,الانعكاسات الايجابية والسلبية لتوجهات الدولة نحو خصخصة ا لمطارات المصرية,2025,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,ريهام محمد محمود حواش,10.21608/mfth.2025.428590,https://openalex.org/W4410938763,['صناعة السياحة'],arab,0,article
ar,الأندلس وأدب الرحلات دراسة لتأثير الأندلس على رحلات المسافرين وأعمالهم الأدبية,2024,حولیة کلیة اللغة العربیة بجرجا,خلود ناصر منصور المطيري,10.21608/bfag.2024.283241.1484,https://openalex.org/W4400385169,['الرحلات'],arab,0,article
ar,التحليل المكاني لتوزيع الخدمات السياحية في بلدية مصراتة باستخدام نظم المعلومات الجغرافية,2020,,محمد المهدي الأسطى; فاطمة عبدالله المنقوش,10.33953/0381-003-003-052,https://openalex.org/W4411837631,['السياحية'],arab,2,article
ar,الآثار الاقتصادية للحرب الروسية الأوكرانية,2025,Maǧallaẗ Al-Buḥūṯ Al-Qānūniyyaẗ wa Al-Iqtiṣādiyyaẗ - Al-Munūfiyyaẗ,هيثم اسامه عبد المحسن مدين,10.21608/jslem.2025.368623.1376,https://openalex.org/W4408626245,['الآثار'],arab,0,article
ar,المضامين العلمية في الرحلات الحجازية الجزائرية- رحلة الورثيلاني أنموذجا,2019,افاق فكرية,حبيب بوزوادة,,https://openalex.org/W2952209464,['الرحلات'],arab,0,article
ar,التقنيات الحديثة في المتاحف ودورها في تعزيز الخبرة الثقافية لدى السائح بمصر,2022,"International Journal for Tourism, Archaeology and Hospitality",mayaada abdel hamid; Mayada Abdel Hamid,10.21608/ijtah.2022.171568.1015,https://openalex.org/W4312897668,"['السائح', 'المتاحف', 'المتحف']",arab,0,article
ar,العوامل المؤثرة في استخدام الإنترنت في شراء تذاكر السفر,2012,المجلة العربية للعلوم الإدارية.,عماد يوسف مسعود; محمد أحمد عربيات,10.34120/ajas.v19i3.831,https://openalex.org/W4403594377,['السفر'],arab,0,article
ar,العمارة القديمة في سوريا: جنوب حوران,2021,,Howard Crosby Butler; Aisha Muhammed Ali Moussa,10.1163/9789004463363,https://openalex.org/W3147383479,['المعالم الأثرية'],arab,0,book
ar,"القرى التراثیة کمدخل للتنمیة السیاحیة فی مصر, رصد وتسجیل القرى ذات القیمة بالأقصر - مصر",2021,مجلة العمارة والفنون والعلوم الإنسانية,عمر حسین,10.21608/mjaf.2021.107662.2562,https://openalex.org/W4206609392,"['السائحين', 'السياحة البيئية']",arab,0,article
ar,استراتيجية العمل السياحي والحركة السياحية في سورية,2013,DOAJ (DOAJ: Directory of Open Access Journals),مطانيوس مخول; منذر عواد; فداء موسى الدرويش,,https://openalex.org/W2732867075,"['السياحي', 'السياحية', 'صناعة السياحة']",arab,0,article
ar,دور سياسات تطوير المتاحف فى تنمية القطاع السياحى فى الأردن,2018,,خليل صالح العدوان; محمد شبيب الخصاونة,10.33948/1077-030-001-004,https://openalex.org/W4388700711,['المتاحف'],arab,0,article
ar,أثر تطبيق استراتيجية التسويق الموجه على التنمية السياحية بواحة سيوة - مصر,2023,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,عبدالرحمن على عبدالسلام; مروة فوزى عبدالوارث; حميدة عبدالسميع,10.21608/mfth.2023.323068,https://openalex.org/W4388159136,['التنمية السياحية'],arab,0,article
ar,الآثار النفسية للدعاية في المجتمع الجزائري,2014,,هني الحاج أحمد,,https://openalex.org/W2773043311,['الآثار'],arab,0,article
ar,السیاحة البیئیة فی إقلیم الجبل الأخضر ودورها فی تحقیق التنمیة المستدامة فی لیبیا,2020,مجلة کلية السياحة والفنادق جامعة المنصورة,عبد الباسط علی عبد الجلیل داود; دعاء سمیر محمد حزه; ولید سید أمین عبد الله,10.21608/mkaf.2020.123269,https://openalex.org/W3106070841,['السياحة البيئية'],arab,0,article
ar,التراث الثقافي بالإسكندرية ودوره في ترسيخ الهوية المصرية,2025,تراثيات,عبد العزيز صلاح سالم,10.21608/tars.2025.501818,https://openalex.org/W7160764871,['التراث الثقافي'],arab,0,article
ar,القدرة التنافسية لقطاع السياحة والأسفار في الجزائر,2019,مجلة اقتصاديات الاعمال والتجارة,خلوفي سفيان; شريط كمال,,https://openalex.org/W2999373727,['السياحة'],arab,0,article
ar,السياحة المستدامة و المقاولاتية : الفرص و التحديات في الجزائر,2014,International Islamic Marketing Association Journal,محمد بن بو زيان; عبد الرزاق بن حبيب; سمير مليكي,10.12816/0007383,https://openalex.org/W2567956522,['السياحة المستدامة'],arab,0,article
ar,سبل تنمية السياحة الصحراوية في المملكة العربية السعودية,2025,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,عبدالله محمد العمران; جهاد حمود الحلو; حسان احمد الخوير; صالح عبدالله القويعي; عبدالله مشعل المجلاد,10.21608/mfth.2025.437400,https://openalex.org/W4412360083,"['السياحة', 'السياحة الصحراوية']",arab,0,article
ar,واقع التسويق السياحي في الجزائر ومشاكله,2017,مجلة العلوم الانسانية,حياة بن سماعين,10.37136/1003-000-046-042,https://openalex.org/W2997674608,"['التسويق السياحي', 'السياحي']",arab,0,article
ar,واقع تمكين المرأة العاملة في خدمة ضيوف الرحمن ضمن منظومة الحج والعمرة,2023,المجلة العربیة للإدارة,فاطمه العصيمي; سعد عزيز حبيب العتيبي,10.21608/aja.2023.179697.1422,https://openalex.org/W4384498938,"['الحج', 'الحج والعمرة']",arab,0,article
ar,تقييم أثر التدريب على أداء العاملين (دراسة ميدانيه على الأدلاء السياحيين الأردنيين ),2013,DOAJ (DOAJ: Directory of Open Access Journals),علي يونس ميا; سالم سفاح العون; هايل فلاح السرحان,,https://openalex.org/W2606628408,['السائح'],arab,0,article
ar,التسویق المستدام للمحمیات الطبیعیة فی مصر: الفرص والتحدیات,2017,المجلة الدولية للتراث والسياحة والضيافة,منار عبدالظاهر; سوزان بکری; محمد سلیمان,10.21608/jihtha.2017.28002,https://openalex.org/W2920077700,['صناعة السياحة'],arab,0,article
ar,"الرحلات المغربية المشرقية:, مقاصدها وآثارها العلمية (5-9هـ. / 11-15م.)",2021,مجلة الدراسات التاريخية و الاجتماعية,تهاني سلامة حسن سلامة,10.36353/1515-000-053-004,https://openalex.org/W4411904197,['الرحلات'],arab,0,article
ar,توظيف التراث في تشکيل البيئة الروائية العربية لغة وسردا: رواية (توبة وسليى) لمها الفيصل نموذجا,2011,دورية کان التاريخية,محمد صالح الشنطي,10.21608/kan.2011.101380,https://openalex.org/W3167113307,['التراث'],arab,1,article
ar,طرق ومسالك أركاب الحج المغاربية بالجزائر العثمانية,2022,دراسات تاريخية,سعاد آل سيد الشيخ,10.37487/1421-010-001-016,https://openalex.org/W4411911424,['الحج'],arab,0,article
ar,"علاقة أباطرة الصين بإمبراطورية الهون التركية وتأثيرها على تجارة طريق الحرير ""220 ق. م. - 105 م.""",2024,مجلة دراسات وأبحاث,وفاء بوغرارة,10.35157/0578-016-003-006,https://openalex.org/W4411829355,['طريق الحرير'],china,0,article
ar,تقدير محددات الايراد العام للقطاع السياحي في الجزائر,2023,,مسعود بن جواد,10.54246/1548-016-001-022,https://openalex.org/W4411903615,['السياحي'],arab,0,article
ar,الحفاظ على اللغات العرقية كتراث ثقافي غير مادي لتنمية السياحة المستدامة - دراسة حالة اللغة النوبية في صعيد مصر,2023,المجلة العلمیة لکلیة السیاحة و الفنادق جامعة الأسکندریة,سمر .القصراوي,10.21608/thalexu.2024.259533.1119,https://openalex.org/W4390844022,"['التراث الثقافي', 'السائحين', 'السياحة التراثية', 'السياحة المستدامة']",arab,0,article
ar,دور الإنتاج التلیفزیونى فى تحسین الاتصـال المرئى لتنمیـة الاعلام السیاحـى بجمهوریة مصر العربیة,2019,مجلة العمارة والفنون والعلوم الإنسانية,ایمان مصطفی عبد الحمید عبد الحمید; صفوت عبد الحلیم; نانسى السید,10.21608/mjaf.2019.10487.1024,https://openalex.org/W2962973648,['التسويق السياحي'],arab,0,article
ar,السياحة الزراعية في أرياف عجلون: الدوافع والتحديات,2023,مجلة الجامعة الإسلامية للبحوث الإنسانية,Motasem A. Oliwa; Nidal M Alzboun; Hamzah A Khawaldah,10.33976/iugjhr.31.2/2023/8,https://openalex.org/W4378418529,['السياحة'],arab,0,article
ar,Domestic Guests' Perception of Hotel Capacity Management Practices,2017,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,Abuelkassem Mohammad,10.21608/mfth.2017.26087,https://openalex.org/W2915419448,['السائحين'],arab,0,article
ar,الموروث الثقافي وإعادة تشكيل الهوية الجيلية: دراسة سوسيولوجية مقارنة لخصائص جيل زد وجيل ألفا في المجتمع المصري,2026,مجلة کلية الآداب بقنا,نجوان أحمد عاصم عبدالجواد,10.21608/qarts.2026.477385.2438,https://openalex.org/W7166860604,['الموروث الثقافي'],arab,0,article
ar,إبليس في التراث الأدبي الإسلامي,2021,,عادل ايت العسري,,https://openalex.org/W3121069718,['التراث'],arab,0,article
ar,مجلة حوليات التراث العدد 19,2019,DOAJ (DOAJ: Directory of Open Access Journals),د. محمد عباسة,,https://openalex.org/W7210782816,['التراث'],arab,0,article
ar,"التسويق السياحي الإلكتروني في المؤسسات السياحية الجزائرية:, الواقع والأفاق",2022,مجلة دفاتر اقتصادية,أمينة خطابت,10.36530/1661-013-001-041,https://openalex.org/W4411899777,"['التسويق السياحي', 'السياحية']",arab,0,article
ar,مؤشر المناخ السياحي وعلاقته بالحركة السياحية بمدينة شرم الشيخ Tourist climate index and its relationship to tourist activity in Sharm El Sheikh,2024,Maǧallaẗ Markaz Al-Buḥūṯ Al-Ǧuġrāfiyyaẗ wa Al-Kārtūğirāfiyyaẗ/Maǧallaẗ Markaz Al-Buḥūṯ Al-Ǧuġrāfiyyaẗ wa Al-Kārtūğirāfiyyaẗ,شيماء السيد عبد النبي,10.21608/mkgc.2023.253093.1110,https://openalex.org/W4392614268,"['السائح', 'السائحين']",arab,0,article
ar,المشاريع الرياضية والثقافية في دول الخليج والقوة الناعمة.,2021,مجلة دراسات الخليج والجزيرة العربية.,رشيد البزيم,10.34120/jgaps.v47i183.2845,https://openalex.org/W4399809756,['المتاحف'],arab,0,article
ar,أهمية اللغة العربية الوظيفية والتفاعلية في التسويق الشفهي للسياحة -دراسة تحليلية لبعض محتويات منصتا السفر Trivagoو Tripadvisor,2021,,مريم بن لقدر,,https://openalex.org/W3202570707,['السفر'],arab,0,article
ar,مقومات السياحة الصحراوية بالجزائر ومتطلبات تنشيطها,2016,مجلة التنمية الاقتصادية,قشوط الياس; كحول صورية,,https://openalex.org/W2788557554,"['السياحة', 'السياحة الصحراوية']",arab,0,article
ar,Two Titles for the Book of the Dead (P. Turin Cat. 1828/1–2),2018,Rivista del Museo Egizio,Thomas L. Christiansen,10.29353/rime.2018.1625,https://openalex.org/W2906209926,['المتحف'],arab,1,article
ar,معرض الأسلحة القديمة في المتحف الوطني للآثار القديمة – الجزائر (18 مايو – 30 ديسمبر) 2014,2014,دورية کان التاريخية,عز الدين حضري,10.21608/kan.2014.110811,https://openalex.org/W3083270856,['المتحف'],arab,0,article
ar,التنمية السياحية المستدامة بديل فعال لدعم الاقتصاد الجزائري Sustainable tourism development is an effective alternative to support the Algerian economy,2019,معالم للدراسات القانونية والسياسية,ابرادشة فريد,,https://openalex.org/W2996591538,['التنمية السياحية'],arab,0,article
ar,الآثار الإقتصادیة المترتبة على الشراکة الأوربیة- العربیة,2020,مجلة الدراسات التجارية المعاصرة,عزت ملوک قناوی,10.21608/csj.2020.143236,https://openalex.org/W3122246353,['الآثار'],arab,0,article
ar,"الموروث الثقافي الأمازيغي في الشرق الجزائري:, مدينة سوق أهراس أنموذجا",2020,مجلة جيل العلوم الإنسانية والاجتماعية,سمية بن جبار,10.33685/1316-000-067-003,https://openalex.org/W3180011428,['الموروث الثقافي'],arab,0,article
ar,فرضية النمو الاقتصادي الذي تقوده السياحة والعلاقة بين إيرادات السياحة الدولية والنمو الاقتصادي في المملكة العربية السعودية,2020,مجلة الدراسات والبحوث التجارية,حسن محمد عامر آل عبيد,10.21608/jcsr.2020.400471,https://openalex.org/W4405959434,['السياحة'],arab,0,article
ar,دراسة تحلیلیة لتأثیر التنمیة السیاحیة المستدامة فی توفیر فرص العمل والقضاء على البطالة بالمجتمع المحلى(بالتطبیق على سکان محافظة الفیوم),2021,المجلة الدولية للتراث والسياحة والضيافة,هناء حسن; غادة وفیق; فاروق عبد النبى; مصطفى أبوحمد,10.21608/jihtha.2021.226044,https://openalex.org/W4226148665,"['التنمية السياحية', 'صناعة السياحة']",arab,0,article
ar,حماية التراث الثقافي العقاري في التشريع الجزائري,2016,مجلة التراث,الهادي خضراوي; عثماني علي,10.12816/0029785,https://openalex.org/W2559474714,['التراث الثقافي'],arab,0,article
ar,أخبار العلم والعلماء بأرض الحجاز من خلال الرحلات المغربية رحلة أبي سالم العياشي وابن الطيب الشرقي والهلالي نماذجا,2017,قضايا تاريخية,موسى شرف,,https://openalex.org/W2788042992,['الرحلات'],arab,0,article
ar,الرحلات المعرفیة فی تنمیة مهارات الدمج القرائی والتفکیر المتشعب لتدریس المدلولات اللغویة الجغرافیة فی النصوص الأدبیة لطلاب الصف الأول الثانوی,2017,دراسات عربية في التربية و علم النفس,اسامة ابراهیم; هزاع الشمرى,10.21608/saep.2017.24675,https://openalex.org/W2911346546,['الرحلات'],arab,0,article
ar,الممر الاقتصادي بين الهند والشرق الأوسط وأوروبا.. الأهداف والدلالات,2024,Afāq Asyawiyyaẗ,محمد فوزي حسن,10.21608/sis.2024.275968.1141,https://openalex.org/W4399535130,['مبادرة الحزام والطريق'],both,0,article
ar,حماية التراث العمراني الكولونيالي: أنموذجا وادي,2023,المجلة العربية لعلوم السياحة والضيافة والآثار,الصافي عبد الرزاق; خليل السعداني; سيدي محمد معروف الدفالي,10.21608/kjao.2023.317419,https://openalex.org/W4387041264,['التراث'],arab,0,article
ar,التسويق السياحي و أثره في تعزيزه القطاع السياحي في مدينة زاخو,2024,Koya University Journal of Humanities and Social Sciences,Abdulwahid T. Shukri; Farhad S. Jameel,10.14500/kujhss.v7n2y2024.pp236-245,https://openalex.org/W4407136919,"['التسويق السياحي', 'السائح', 'السياحي']",arab,0,article
ar,المتاحف الفنية الافتراضية كأحد أساليب تعليم الفنون البصرية لطلاب مرحلة الصفوف الأولية في المملكة العربية السعودية,2024,Maǧallaẗ Kulliyyaẗ Al-Tarbiyyaẗ Ǧāmiʻaẗ Al-Minufiyyaẗ /Maǧallaẗ Kulliyyaẗ Al-Tarbiyyaẗ Ǧāmiʻaẗ Al-Minufiyyaẗ,لجين بنت زهير غنيم,10.21608/muja.2024.397494,https://openalex.org/W4405658762,['المتاحف'],arab,0,article
ar,دور التسويق السياحي الالكتروني في ترقية الخدمات السياحية دراسة بعض الوكالات السياحية الناشطة بولايات الشرق الجزائري,2021,,حمزة بعلي; خالد بن جلول; عبد القادر فلفول,,https://openalex.org/W3216850251,"['التسويق السياحي', 'السياحية']",arab,0,article
ar,إشکالیة التدین فی الوطن العربی من منظور علم الاجتماع الإسلامی,2015,مجلة قطاع الدراسات الإنسانیة,فرید بونیفة,10.21608/jsh.2015.27718,https://openalex.org/W2919717815,['الحج والعمرة'],arab,0,article
ar,الامن السياحي كأساس استراتيجي لتحقيق التنمية السياحية في الوطن العربي,2020,مجلة البحوث و الدراسات الإنسانية,شريفة معدن,,https://openalex.org/W3121085549,['التنمية السياحية'],arab,0,article
ar,أختام منبسطة من موقع تل الولاية في المتحف العراقي Flat seals from the Al-welayia hill site in the of the Iraqi Museum,2013,DOAJ (DOAJ: Directory of Open Access Journals),Abbas Zowayed AlJubouri عباس زويد الجبوري; Ahmed Aziz Salman احمد عزيز سلمان,,https://openalex.org/W2807441520,['المتحف'],arab,0,article
ar,الاستغلال الأمثل للمحمیات الطبیعیة وتأثیرها على حرکة السیاحة الوافدة بالتطبیق على محمیة الصحراء البیضاء,2019,مجلة کلية السياحة والفنادق جامعة المنصورة,أمیرة حسن عبد المنعم; نهاد محمد کمال یحیى; رانیا محمد بهاء الدین بدرالدین,10.21608/mkaf.2019.106996,https://openalex.org/W3068583708,['صناعة السياحة'],arab,0,article
ar,نموذج مقترح لتوظيف تكنولوجيا الواقع الافتراضي لغرض تحقيق متعة السفر، (بالتطبيق على شركة مصر للطيران),2022,Mağallaẗ Al-Maʿhad Al-ʿālī Lil Dirāsāt Al-Nawʿiyyaẗ /Mağallaẗ Al-Maʿhad Al-ʿālī Lil Dirāsāt Al-Nawʿiyyaẗ,ريهام حواش,10.21608/hiss.2022.315800,https://openalex.org/W4386571525,['السفر'],arab,0,article
ar,نشر ودراسة قالب ختم فريد للإله بس بالمتحف المصري,2023,أوراق کلاسيکية,رانيا سمير زيدان; سهام دياب المصرى,10.21608/acl.2023.329071,https://openalex.org/W4389552218,['المتحف'],arab,0,article
ar,مساءلة أبستمولوجية لسانية لأصواتيات التراث العربية,2025,مجلة العلوم الأساسـية,أنفال جاسم محمّد,10.31185/bsj.vol20.iss30.1200,https://openalex.org/W4414446395,['التراث'],arab,0,article
ar,السياحة في ليبيا : مقوماتها وسبل تعزيزها,2015,,نجاة محمد المهدوي,10.35778/1742-000-015-004,https://openalex.org/W2978840967,['السياحة'],arab,0,article
ar,"الخطاب والنص في التراث العربي:, الأصول في التراث العربي",2020,مجلة آفاق للعلوم,سمية مويلح,10.37167/1677-005-001-022,https://openalex.org/W3025368565,['التراث'],arab,0,article
ar,رهاصات التداولية في التراث اللغوي العربي,2011,Al Athar مجلة  الأثـــــــــــــــر,صلاح الدين زرال,,https://openalex.org/W2944728386,['التراث'],arab,0,article
ar,دور العمارة الداخلية في تنشيط السياحة لمتاحف التاريخ الطبيعي,2024,Mağallaẗ Al-Maʿhad Al-ʿālī Lil Dirāsāt Al-Nawʿiyyaẗ /Mağallaẗ Al-Maʿhad Al-ʿālī Lil Dirāsāt Al-Nawʿiyyaẗ,هالة الزيات,10.21608/hiss.2024.307059.1385,https://openalex.org/W4401525861,['المتاحف'],arab,0,article
ar,ترقية الاستثمار السياحي في الجزائر بين السياسات والواقع,2018,,إيمان حسينات,10.34277/1455-000-011-001,https://openalex.org/W2964789014,['السياحي'],arab,0,article
