dim_ok,dim_tourism_level,title,year,type,type_label,venue,authors,doi,url,source_db,dim_cn,dim_ar,dim_tourism_strong,dim_tourism_weak
True,strong,Tourism and regional income inequality: Evidence from China,2016,journal-article,期刊论文,Annals of Tourism Research,Hengyun Li; Jason Li Chen; Gang Li; Carey Goh,10.1016/j.annals.2016.02.001,https://doi.org/10.1016/j.annals.2016.02.001,crossref,china,arab,tourism,
True,strong,"The relationship between tourism receipts, real effective exchange rate and economic growth in Tunisia",2010,journal-article,期刊论文,International Journal of Tourism Research,Mounir Belloumi,10.1002/jtr.774,https://doi.org/10.1002/jtr.774,crossref,china,tunisia; tunisian,tourism,
True,strong,Estimation of Coronavirus Disease 2019 (COVID-19) Burden and Potential for International Dissemination of Infection From Iran,2020,article,,Annals of Internal Medicine,Ashleigh R. Tuite; Isaac I. Bogoch; Ryan Sherbo; Alexander Watts; David N. Fisman; Kamran Khan,10.7326/m20-0696,,,china,arab; arabia; baghdad; damascus; dubai; emirates; iraq; islamic; kuwait; lebanon; saudi; syria,destination; destinations; tourism; tourist; tourists; travel; traveler; travelers; traveller; visitors,connectivity
True,strong,When Middle East meets West: Understanding the motives and perceptions of young tourists from United Arab Emirates,2014,journal-article,期刊论文,Tourism Management,Girish Prayag; Sameer Hosany,10.1016/j.tourman.2013.05.003,https://doi.org/10.1016/j.tourman.2013.05.003,crossref,china,arab; emirates; middle east,tourists,
True,strong,Reconfiguring Chinese cultural values and their tourism implications,2016,journal-article,期刊论文,Tourism Management,Cathy H.C. Hsu; Songshan (Sam) Huang,10.1016/j.tourman.2015.11.011,https://doi.org/10.1016/j.tourman.2015.11.011,crossref,chinese,arab,tourism,
True,strong,"Service Fairness, Consumption Emotions, Satisfaction, and Behavioral Intentions: The Experience of Chinese Heritage Tourists",2013,journal-article,期刊论文,Journal of Travel &amp; Tourism Marketing,LuJun Su; Maxwell K. Hsu,10.1080/10548408.2013.835228,https://doi.org/10.1080/10548408.2013.835228,crossref,chinese,arab,heritage; tourists,
True,strong,Nation Branding,2015,book,,,Keith Dinnie,10.4324/9781315773612,,,china,arab; emirates,tourism,
True,strong,VACATION AND WELL-BEING: A STUDY OF CHINESE TOURISTS,2013,journal-article,期刊论文,Annals of Tourism Research,Yi Chen; Xinran Y. Lehto; Liping Cai,10.1016/j.annals.2013.02.003,https://doi.org/10.1016/j.annals.2013.02.003,crossref,chinese,arab,tourists; vacation,
True,strong,Joyriding in Riyadh,2014,monograph,专著,Cambridge University Press,Pascal Menoret,10.1017/cbo9781139548946,https://doi.org/10.1017/cbo9781139548946,crossref,china,arabia; riyadh; saudi,tourism,
True,strong,Cultural effects of authenticity: contested heritage practices in China,2015,journal-article,期刊论文,International Journal of Heritage Studies,Yujie Zhu,10.1080/13527258.2014.991935,https://doi.org/10.1080/13527258.2014.991935,crossref,china,arab,heritage,
True,strong,"Heritage tourism and livelihood sustainability of a resettled rural community: Mount Sanqingshan World Heritage Site, China",2015,journal-article,期刊论文,Journal of Sustainable Tourism,Ming Ming Su; Geoffrey Wall; Kejian Xu,10.1080/09669582.2015.1085868,https://doi.org/10.1080/09669582.2015.1085868,crossref,china,arab,heritage; tourism; world heritage,
True,strong,"Tourism, terrorism and political violence in Tunisia: Evidence from Markov-switching models",2019,journal-article,期刊论文,Tourism Management,Charfeddine Lanouar; Mohamed Goaied,10.1016/j.tourman.2018.09.002,https://doi.org/10.1016/j.tourman.2018.09.002,crossref,china,tunisia,tourism,
True,strong,"CDC health information for international travel: the yellow book, 2012",2011,book-review,,Choice Reviews Online,,10.5860/choice.49-1212,,,china,arabia; egypt; middle east; saudi,cruise; destinations; hajj; pilgrimage; tourism; travel; traveler; travelers,
True,strong,Tourism development and changing rural identity in China,2017,journal-article,期刊论文,Annals of Tourism Research,Lan Xue; Deborah Kerstetter; Carter Hunt,10.1016/j.annals.2017.07.016,https://doi.org/10.1016/j.annals.2017.07.016,crossref,china,arab,tourism,
True,strong,Muslim Tourist Perceived Value in the Hospitality and Tourism Industry,2014,journal-article,期刊论文,Journal of Travel Research,Riyad Eid; Hatem El-Gohary,10.1177/0047287514532367,https://doi.org/10.1177/0047287514532367,crossref,china,islamic; muslim,hospitality; tourism; tourism industry; tourist; tourists,
True,strong,Aviation and Tourism: Implications for Leisure Travel,2012,article,,,Anne Graham; Ανδρέας Παπαθεοδώρου; Peter Forsyth,,,,china,dubai; middle east,destination; destinations; leisure; tourism; travel; travellers,
True,strong,Impacts of COVID-19 on tourists' destination preferences: Evidence from China,2021,journal-article,期刊论文,Annals of Tourism Research,Xun Li; Jian Gong; Baojun Gao; Peiwen Yuan,10.1016/j.annals.2021.103258,https://doi.org/10.1016/j.annals.2021.103258,crossref,china,arab,destination; tourists,
True,strong,Conflict in tourism development in rural China,2019,journal-article,期刊论文,Tourism Management,Liguo Wang; Yukio Yotsumoto,10.1016/j.tourman.2018.08.012,https://doi.org/10.1016/j.tourman.2018.08.012,crossref,china,arab,tourism,
True,strong,Chinese Outbound Tourism Research,2015,journal-article,期刊论文,Journal of Travel Research,Xin Jin; Ying Wang,10.1177/0047287515608504,https://doi.org/10.1177/0047287515608504,crossref,chinese,arab,hospitality; tourism,
True,strong,"Globalization and gametes: reproductive ‘tourism,’ Islamic bioethics, and Middle Eastern modernity",2011,journal-article,期刊论文,Anthropology &amp; Medicine,Marcia C. Inhorn,10.1080/13648470.2010.525876,https://doi.org/10.1080/13648470.2010.525876,crossref,china,islamic; middle eastern,tourism,
True,strong,"Tourists’ digital footprint: The spatial patterns of tourist flows in Qingdao, China",2020,journal-article,期刊论文,Tourism Management,Naixia Mou; Yunhao Zheng; Teemu Makkonen; Tengfei Yang; Jinwen(Jimmy) Tang; Yan Song,10.1016/j.tourman.2020.104151,https://doi.org/10.1016/j.tourman.2020.104151,crossref,china,arab,tourist; tourists,
True,strong,How does perceived corporate social responsibility contribute to green consumer behavior of Chinese tourists,2017,journal-article,期刊论文,International Journal of Contemporary Hospitality Management,Lujun Su; Scott R. Swanson; Maxwell Hsu; Xiaohong Chen,10.1108/ijchm-10-2015-0580,https://doi.org/10.1108/ijchm-10-2015-0580,crossref,china; chinese,saudi,heritage; hospitality; hotel; tourism; tourists; world heritage,
True,strong,Heritage Politics in China,2020,monograph,专著,Routledge,Yujie Zhu; Christina Maags,10.4324/9780429446429,https://doi.org/10.4324/9780429446429,crossref,china,arab,heritage,
True,strong,The impact of COVID‐19 on African economies: An introduction,2021,article,,African Development Review,John C. Anyanwu; Adeleke Salami,10.1111/1467-8268.12531,,,china; chinese; hong kong,algeria; comoros; egypt; gcc; gulf cooperation council; jordan; lebanon; libya; middle east; morocco; somalia; sudan; tunisia,destination; tourism; travel,
True,strong,Urban-rural imbalance and Tourism-Led Growth in China,2017,journal-article,期刊论文,Annals of Tourism Research,Jingjing Liu; Peter Nijkamp; Derong Lin,10.1016/j.annals.2017.02.005,https://doi.org/10.1016/j.annals.2017.02.005,crossref,china,arab,tourism,
True,strong,Past and present practices of the Malay food heritage and culture in Malaysia,2017,article,,Journal of Ethnic Foods,Mohd Nazri Abdul Raji; S. A. Karim; Farah Adibah Che Ishak; Mohd Mursyid Arshad,10.1016/j.jef.2017.11.001,,,chinese,arab,heritage,
True,strong,"Wellness Tourism in China: Resources, Development and Marketing",2012,journal-article,期刊论文,International Journal of Tourism Research,Vincent C. S. Heung; Deniz Kucukusta,10.1002/jtr.1880,https://doi.org/10.1002/jtr.1880,crossref,china,arab,cultural tourism; tourism; tourism industry,
True,strong,Using TikTok in tourism destination choice: A young Chinese tourists' perspective,2023,journal-article,期刊论文,Tourism Management Perspectives,Qing Zhou; Marios Sotiriadis; Shiwei Shen,10.1016/j.tmp.2023.101101,https://doi.org/10.1016/j.tmp.2023.101101,crossref,chinese,arab,destination; tourism; tourists,
True,strong,"Raiding, Trading, and Feasting",2017,book,,University of Hawaii Press eBooks,L. Junker,10.1515/9780824864064,,,chinese,arab,archaeological,
True,strong,Small sample evidence on the tourism-led growth hypothesis in Lebanon,2012,journal-article,期刊论文,Current Issues in Tourism,Chor Foon Tang; Salah Abosedra,10.1080/13683500.2012.732044,https://doi.org/10.1080/13683500.2012.732044,crossref,china,lebanon,tourism,
True,strong,“Halal tourism”: is it the same trend in non-Islamic destinations with Islamic destinations?,2019,article,,Asia Pacific Journal of Tourism Research,Jia Xiong; Chaozhi Zhang,10.1080/10941665.2019.1687535,,,china; chinese,halal; islamic; muslim,destinations; hotel; tourism; tourists,
True,strong,Dynamic assessment of tourism carrying capacity and its impacts on tourism economic growth in urban tourism destinations in China,2020,journal-article,期刊论文,Journal of Destination Marketing &amp; Management,Jia Wang; Xijia Huang; Zhiqiang Gong; Kaiying Cao,10.1016/j.jdmm.2019.100383,https://doi.org/10.1016/j.jdmm.2019.100383,crossref,china,arab,destinations; tourism,
True,strong,"School travel mode choice in Beijing, China",2017,journal-article,期刊论文,Journal of Transport Geography,Rui Zhang; Enjian Yao; Zhili Liu,10.1016/j.jtrangeo.2017.06.001,https://doi.org/10.1016/j.jtrangeo.2017.06.001,crossref,beijing; china,arab,travel,
True,strong,Planetarity: Musing Modernist Studies,2010,article,,Modernism/modernity,Susan Stanford Friedman,10.1353/mod.2010.0003,,,china; chinese,arab; arabic,heritage,
True,strong,Patients beyond borders: A study of medical tourists in four countries,2010,article,,Global Social Policy,Mohd Jamal Alsharif; Ronald Labonté; Zuxun Lu,10.1177/1468018110380003,,,china,arab; emirates; jordan,destination; tourism; tourists; travel; travelers,
True,strong,"Antecedents and consequences of place attachment: A comparison of Chinese and Western urban tourists in Hangzhou, China",2016,journal-article,期刊论文,Journal of Destination Marketing &amp; Management,Zhenxiao Xu; Jie Zhang,10.1016/j.jdmm.2015.11.003,https://doi.org/10.1016/j.jdmm.2015.11.003,crossref,china; chinese,arabic,tourists,
True,strong,Shopping behavior of Chinese tourists visiting the United States: Letting the shoppers do the talking,2012,journal-article,期刊论文,Tourism Management,Yueying Xu; Nancy Gard McGehee,10.1016/j.tourman.2011.05.003,https://doi.org/10.1016/j.tourman.2011.05.003,crossref,chinese,iraq,tourists,
True,strong,Transforming visitors into members in online brand communities: Evidence from China,2013,journal-article,期刊论文,Journal of Business Research,Zhimin Zhou; Jane Peihsun Wu; Qiyuan Zhang; Shen Xu,10.1016/j.jbusres.2013.05.032,https://doi.org/10.1016/j.jbusres.2013.05.032,crossref,china,arab,visitors,
True,strong,"Terrorism and tourism demand: a case study of Lebanon, Turkey and Israel",2017,journal-article,期刊论文,Current Issues in Tourism,Charbel Bassil; Ali Salman Saleh; Sajid Anwar,10.1080/13683500.2017.1397609,https://doi.org/10.1080/13683500.2017.1397609,crossref,china,lebanon,tourism,
True,strong,Environmental impacts of tourism in the Gulf and the Red Sea,2013,journal-article,期刊论文,Marine Pollution Bulletin,William Gladstone; Belinda Curley; Mohammad Reza Shokri,10.1016/j.marpolbul.2012.09.017,https://doi.org/10.1016/j.marpolbul.2012.09.017,crossref,china,red sea,tourism,
True,strong,Not losing our collective face: Social identity and Chinese tourists' reflections on uncivilised behaviour,2019,journal-article,期刊论文,Tourism Management,Carol X. Zhang; Philip Pearce; Ganghua Chen,10.1016/j.tourman.2019.01.020,https://doi.org/10.1016/j.tourman.2019.01.020,crossref,chinese,arab,tourists,
True,strong,Factors influencing tourists’ litter management behavior in mountainous tourism areas in China,2018,journal-article,期刊论文,Waste Management,Huan Hu; Jinhe Zhang; Guang Chu; Jinhua Yang; Peng Yu,10.1016/j.wasman.2018.07.047,https://doi.org/10.1016/j.wasman.2018.07.047,crossref,china,arab,tourism; tourists,
True,strong,Chinese tourists’ sense of safety: perceptions of expected and experienced destination safety,2019,journal-article,期刊论文,Current Issues in Tourism,Yongguang Zou; Fang Meng,10.1080/13683500.2019.1681382,https://doi.org/10.1080/13683500.2019.1681382,crossref,chinese,arab,destination; tourists,
True,strong,"Determinants of CO2 emissions from household daily travel in Beijing, China: Individual travel characteristic perspectives",2015,journal-article,期刊论文,Applied Energy,Zhaohua Wang; Wei Liu,10.1016/j.apenergy.2015.08.065,https://doi.org/10.1016/j.apenergy.2015.08.065,crossref,beijing; china,arab,travel,
True,strong,The influence of crisis on tourists’ perceived destination image and revisit intention: An exploratory study of Chinese tourists to North Korea,2018,journal-article,期刊论文,Journal of Destination Marketing &amp; Management,Fangxuan Li; Jun Wen; Tianyu Ying,10.1016/j.jdmm.2017.11.006,https://doi.org/10.1016/j.jdmm.2017.11.006,crossref,chinese,arab,destination; tourists,
True,strong,Organ Trafficking and Transplant Tourism,2013,article,,Transplantation,Gabriel M. Danovitch; Jeremy R. Chapman; Alexander Morgan Capron; Adeera Levin; Mário Abbud‐Filho; Mustafa Al Mousawi; William M. Bennett; Debra Budiani-Saberi; William Couser; Ian Dittmer; Vivekanand Jha; Jacob Lavee; Dominique Martin; Marwan Masri; Saraladevi Naicker; Shiro Takahara; Annika Tibell; F A Shaheen; Anantharaman Vathsala; Francis L. Delmonico,10.1097/tp.0b013e318295ee7d,,,china,egypt; qatar,tourism,
True,strong,Are Social Media Data Pushing Overtourism? The Case of Barcelona and Chinese Tourists,2019,journal-article,期刊论文,Sustainability,María-del-Mar Alonso-Almeida; Fernando Borrajo-Millán; Liu Yi,10.3390/su11123356,https://doi.org/10.3390/su11123356,crossref,china; chinese,arab,destination; destinations; tourism; tourist; tourists; travel,
True,strong,Effects of perceived constraints and negotiation on learned helplessness: A study of Chinese senior outbound tourists,2020,journal-article,期刊论文,Tourism Management,Jun Wen; Songshan (Sam) Huang; Edmund Goh,10.1016/j.tourman.2019.104059,https://doi.org/10.1016/j.tourman.2019.104059,crossref,chinese,arab,tourists,
True,strong,Chinese outbound tourists' perceived constraints to visiting the United States,2013,journal-article,期刊论文,Tourism Management,Chengting Lai; Xiang (Robert) Li; Rich Harrill,10.1016/j.tourman.2013.01.014,https://doi.org/10.1016/j.tourman.2013.01.014,crossref,chinese,arab,tourists,
True,strong,Urban entrepreneurialism and the commodification of heritage in China,2014,journal-article,期刊论文,Urban Studies,Xiaobo Su,10.1177/0042098014528998,https://doi.org/10.1177/0042098014528998,crossref,china,arab,heritage; tourist,
True,strong,Creating Memorable Experience in Rural Tourism: A Comparison between Domestic and Outbound Tourists,2020,journal-article,期刊论文,Journal of Travel Research,Shun Ye; Wei Wei; Jun Wen; Tianyu Ying; Xiaoyuan Tan,10.1177/0047287520951641,https://doi.org/10.1177/0047287520951641,crossref,china; chinese,arab,destinations; tourism; tourism industry; tourist; tourists,
True,strong,Religious tourism and its management: the hajj in Saudi Arabia,2010,journal-article,期刊论文,International Journal of Tourism Research,Joan Catherine Henderson,10.1002/jtr.825,https://doi.org/10.1002/jtr.825,crossref,china,arabia; saudi,attractions; hajj; pilgrimage; pilgrims; tourism; travel; visitor,
True,strong,Preservation and Conservation through Cultural Heritage Tourism. Case Study: Musi Riverside Palembang,2015,conference-paper,,Procedia - Social and Behavioral Sciences,Tutur Lussetyowati,10.1016/j.sbspro.2015.05.109,,,china,middle east,cultural tourism; heritage; tourism; visitors,
True,strong,Souvenir shopping experiences: A case study of Chinese tourists in North Korea,2018,journal-article,期刊论文,Tourism Management,Fangxuan (Sam) Li; Chris Ryan,10.1016/j.tourman.2017.08.006,https://doi.org/10.1016/j.tourman.2017.08.006,crossref,chinese,arab,tourists,
True,strong,Contingent effects of social norms on tourists’ pro-environmental behaviours: the role of Chinese traditionality,2020,journal-article,期刊论文,Journal of Sustainable Tourism,Xiongzhi Wang; Chaozhi Zhang,10.1080/09669582.2020.1746795,https://doi.org/10.1080/09669582.2020.1746795,crossref,chinese,iraq,tourists,
True,strong,Effect of tourism development on urban air pollution in China: The moderating role of tourism infrastructure,2021,journal-article,期刊论文,Journal of Cleaner Production,Jingjing Zeng; Yonglin Wen; Chao Bi; Richard Feiock,10.1016/j.jclepro.2020.124397,https://doi.org/10.1016/j.jclepro.2020.124397,crossref,china,arabic,tourism,
True,strong,Impacts of COVID-19 on Chinese nationals' tourism preferences,2021,journal-article,期刊论文,Tourism Management Perspectives,Songshan (Sam) Huang; Yuhong Shao; Ying Zeng; Xinyi Liu; Zhiyong Li,10.1016/j.tmp.2021.100895,https://doi.org/10.1016/j.tmp.2021.100895,crossref,chinese,arab,tourism,
True,strong,Feeling superior or deprived? Attitudes and underlying mentalities of residents towards Mainland Chinese tourists,2018,journal-article,期刊论文,Tourism Management,Nan Chen; Cathy H.C. Hsu; Xiang (Robert) Li,10.1016/j.tourman.2017.11.007,https://doi.org/10.1016/j.tourman.2017.11.007,crossref,chinese,arab,tourists,
True,strong,When Western hosts meet Eastern guests: Airbnb hosts' experience with Chinese outbound tourists,2019,journal-article,期刊论文,Annals of Tourism Research,Mingming Cheng; Guojie Zhang,10.1016/j.annals.2019.02.006,https://doi.org/10.1016/j.annals.2019.02.006,crossref,chinese,arab,tourists,
True,strong,Destination marketing and image repair during tourism crises: The case of Egypt,2016,journal-article,期刊论文,Journal of Hospitality and Tourism Management,Eli Avraham,10.1016/j.jhtm.2016.04.004,https://doi.org/10.1016/j.jhtm.2016.04.004,crossref,china,egypt,destination; tourism,
True,strong,"Prehistoric trans-continental cultural exchange in the Hexi Corridor, northwest China",2017,journal-article,期刊论文,The Holocene,Guanghui Dong; Yishi Yang; Xinyi Liu; Haiming Li; Yifu Cui; Hui Wang; Guoke Chen; John Dodson; Fahu Chen,10.1177/0959683617735585,https://doi.org/10.1177/0959683617735585,crossref,china,arab,archaeological; cultural exchange,silk road
True,strong,Understanding China's long-haul outbound travel market: An overlapped segmentation approach,2013,journal-article,期刊论文,Journal of Business Research,Xiang (Robert) Li; Fang Meng; Muzaffer Uysal; Brian Mihalik,10.1016/j.jbusres.2011.09.019,https://doi.org/10.1016/j.jbusres.2011.09.019,crossref,china,arab,travel,
True,strong,"UNWTO World Tourism Barometer and Statistical Annex, December 2020",2020,article,,UNWTO World Tourism Barometer,,10.18111/wtobarometereng.2020.18.1.7,,,china,middle east,tourism; tourist; travel; traveller; visitors,
True,strong,Translocality : the study of globalising processes from a southern perspective,2010,article,,,Ulrike Freitag; Achim von Oppen,,,,chinese,algeria; arab; muslim,attractions; heritage,
True,strong,Characteristics of market segmentation for sustainable medical tourism,2024,journal-article,期刊论文,International Journal of Tourism Research,Jaebin Cha; Mina Jo; Timothy J. Lee; Sunghyup Sean Hyun,10.1002/jtr.2626,https://doi.org/10.1002/jtr.2626,crossref,china; chinese,arab,tourism; tourism industry; tourists,
True,strong,Chinese Tourists and Confucianism,2010,journal-article,期刊论文,Asia Pacific Journal of Tourism Research,Anna Kwek; Young-Sook Lee,10.1080/10941661003629946,https://doi.org/10.1080/10941661003629946,crossref,china; chinese,arab,tourists,
True,strong,Segmenting Mainland Chinese Tourists to Taiwan by Destination Familiarity: a Factor‐cluster Approach,2011,journal-article,期刊论文,International Journal of Tourism Research,Chun‐Chu Chen; Yueh‐Hsiu Lin,10.1002/jtr.864,https://doi.org/10.1002/jtr.864,crossref,chinese,arab,destination; destinations; tourists; travel,
True,strong,Factors affecting tourism policy implementation: A conceptual framework and a case study in China,2013,journal-article,期刊论文,Tourism Management,Dan Wang; John Ap,10.1016/j.tourman.2012.11.021,https://doi.org/10.1016/j.tourman.2012.11.021,crossref,china,arab,tourism,
True,strong,"Tourism development, energy consumption and environmental quality in Tunisia, Egypt and Morocco: a trivariate analysis",2018,journal-article,期刊论文,GeoJournal,Asma Sghaier; Asma Guizani; Sami Ben Jabeur; Mohammad Nurunnabi,10.1007/s10708-018-9878-z,https://doi.org/10.1007/s10708-018-9878-z,crossref,chinese,egypt; morocco; tunisia,tourism,
True,strong,Global distribution and use of water from karst aquifers,2018,article,,Geological Society London Special Publications,Zoran Stevanović,10.1144/sp466.17,,,china,middle east,tourism,
True,strong,Bright Light: Microspectrofluorimetry for the Characterization of Lake Pigments and Dyes in Works of Art,2010,article,,Accounts of Chemical Research,Maria João Melo; Ana Claro,10.1021/ar9001894,,,chinese,arab,heritage,
True,strong,Chinese children's family tourism experiences,2019,journal-article,期刊论文,Tourism Management Perspectives,Mao-Ying Wu; Geoffrey Wall; Yujie Zu; Tianyu Ying,10.1016/j.tmp.2018.11.003,https://doi.org/10.1016/j.tmp.2018.11.003,crossref,chinese,arab,tourism,
True,strong,Motivations and experiences of Mainland Chinese medical tourists in Hong Kong,2011,journal-article,期刊论文,Tourism Management,Ben Haobin Ye; Hanqin Zhang Qiu; Peter P. Yuen,10.1016/j.tourman.2010.09.018,https://doi.org/10.1016/j.tourman.2010.09.018,crossref,chinese; hong kong,arab,tourists,
True,strong,Assessing mainland Chinese tourists' satisfaction with Hong Kong using tourist satisfaction index,2010,journal-article,期刊论文,International Journal of Tourism Research,Haiyan Song; Gang Li; Robert van der Veen; Jason L. Chen,10.1002/jtr.801,https://doi.org/10.1002/jtr.801,crossref,chinese; hong kong,arab,tourist; tourists,
True,strong,Factors influencing Chinese tourists’ intentions to use the Taiwan Medical Travel App,2016,journal-article,期刊论文,Telematics and Informatics,I-Chiu Chang; Pei-Chin Chou; Ralph Keng-Jung Yeh; Hsiao-Ting Tseng,10.1016/j.tele.2015.09.007,https://doi.org/10.1016/j.tele.2015.09.007,crossref,chinese,arab,tourists; travel,
True,strong,Estimating the size of the Chinese outbound travel market: A demand-side approach,2010,journal-article,期刊论文,Tourism Management,Xiang (Robert) Li; Rich Harrill; Muzaffer Uysal; Traverse Burnett; Xiaofeng Zhan,10.1016/j.tourman.2009.03.001,https://doi.org/10.1016/j.tourman.2009.03.001,crossref,chinese,arab,tourists; travel,
True,strong,Performance evaluation of the hotel industry in an emerging tourism destination: The case of Oman,2016,journal-article,期刊论文,Journal of Hospitality and Tourism Management,Amar Oukil; Nabil Channouf; Asma Al-Zaidi,10.1016/j.jhtm.2016.05.003,https://doi.org/10.1016/j.jhtm.2016.05.003,crossref,chinese,oman,destination; hotel; tourism,
True,strong,The Role of Tourism in Economic Growth: Empirical Evidence from Saudi Arabia,2021,journal-article,期刊论文,Economies,Sana Naseem,10.3390/economies9030117,https://doi.org/10.3390/economies9030117,crossref,china,arabia; saudi,tourism; tourist,
True,strong,The Second Wave of Chinese Outbound Tourism,2013,journal-article,期刊论文,Tourism Planning &amp; Development,Wolfgang Georg Arlt,10.1080/21568316.2013.800350,https://doi.org/10.1080/21568316.2013.800350,crossref,chinese,arab,tourism,
True,strong,Heritage and tourism conflict within world heritage sites in China: a longitudinal study,2014,journal-article,期刊论文,Current Issues in Tourism,Chaozhi Zhang; Alan Fyall; Yanfen Zheng,10.1080/13683500.2014.912204,https://doi.org/10.1080/13683500.2014.912204,crossref,china,arab,heritage; tourism; world heritage,
True,strong,"Heritage, values and gentrification: the redevelopment of historic areas in China",2021,journal-article,期刊论文,International Journal of Heritage Studies,Yujie Zhu; Plácido González Martínez,10.1080/13527258.2021.2010791,https://doi.org/10.1080/13527258.2021.2010791,crossref,china,arab,heritage,
True,strong,China in and Beyond the Headlines.,2013,book-review,,Pacific Affairs,Timothy B. Weston; Yang Lijun,10.1080/17153379.2014.12557024,,,china; chinese,arab,leisure; tourism,
True,strong,Chinese Participation in Adventure Tourism,2016,journal-article,期刊论文,Journal of Travel Research,Sarah Gardiner; Anna Kwek,10.1177/0047287516646221,https://doi.org/10.1177/0047287516646221,crossref,china; chinese,arab,tourism; travel,
True,strong,Heritage tourism stakeholder conflict: a case of a World Heritage Site in China,2020,journal-article,期刊论文,Journal of Tourism and Cultural Change,Yiping Li; Chammy Lau; Ping Su,10.1080/14766825.2020.1722141,https://doi.org/10.1080/14766825.2020.1722141,crossref,china,arab,heritage; tourism; world heritage,
True,strong,Doing Business 2013,2012,book,,Doing business in ...,World Bank,10.1596/978-0-8213-9615-5,,,china,jordanian,tourism,
True,strong,NATIONAL POLICY-MAKERS FOR TOURISM IN CHINA,2010,journal-article,期刊论文,Annals of Tourism Research,David Airey; King Chong,10.1016/j.annals.2009.09.004,https://doi.org/10.1016/j.annals.2009.09.004,crossref,china,arab,tourism,
